Publisher Name,Publisher Registry Id,Contacts (with valid data),Location Details (with valid data),Geographic Coordinates (with valid data),DAC Sectors (with valid data),Capital Spend (with valid data),Activity Documents (with valid data),Aid Type (with valid data),Recipient Language (with valid data),Result/ Indicator (with valid data),Average (with valid data),Contacts (with any data),Location Details (with any data),Geographic Coordinates (with any data),DAC Sectors (with any data),Capital Spend (with any data),Activity Documents (with any data),Aid Type (with any data),Recipient Language (with any data),Result/ Indicator (with any data),Average (with any data)
openmindedly,openmindedly,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
OpenNorth,opennorth,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Opportunity International Savings and Loans Ltd,oisl_gh,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Opportunity International UK,opportunity-international-uk,50,0,0,100,0,83,100,50,0,43,50,0,0,100,0,83,100,50,0,43
Options Consultancy Services,options,100,100,93,100,0,0,100,75,0,63,100,100,93,100,0,0,100,75,0,63
Orbis Africa,orbis_africa,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Orbis Charitable Trust,orbis_uk,100,100,100,100,0,100,100,33,33,74,100,100,100,100,0,100,100,33,33,74
Orbis Ethiopia,orbis_ethiopia,100,100,100,100,0,0,100,0,100,67,100,100,100,100,0,0,100,0,100,67
Orbis International,orbis_international,0,100,100,100,0,33,67,33,0,48,0,100,100,100,0,33,67,33,0,48
Overseas Development Institute,odi,100,0,0,100,0,50,0,0,0,28,100,0,0,100,0,50,0,0,0,28
Oxfam America,oxfamus,0,0,0,100,0,0,0,35,0,15,0,0,0,100,0,0,0,35,0,15
Oxfam Australia,oau,98,0,0,96,0,0,0,56,0,28,98,0,0,96,0,0,0,56,0,28
Oxfam GB,oxfamgb,100,0,0,0,0,0,0,35,0,15,100,0,0,0,0,0,0,35,0,15
Oxfam IBIS,ibis_denmark,19,0,0,100,19,4,100,43,19,34,19,0,0,100,19,4,100,43,19,34
Oxfam India,oxfamindia,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Oxfam Intermón,oxfamintermon,100,0,0,100,0,81,100,3,0,43,100,0,0,100,0,81,100,3,0,43
Oxfam Novib,onl,100,23,23,100,0,100,100,25,98,63,100,23,23,100,0,100,100,25,98,63
Oxfam Solidarité-Solidariteit,oxsol,100,85,85,100,0,8,100,90,85,73,100,85,85,100,0,8,100,90,85,73
Oxfam Wereldwinkels,oww,100,33,33,100,0,33,100,100,33,59,100,33,33,100,0,33,100,100,33,59
Oxfam-Magasins du monde (omdm),omdm,100,0,0,100,0,20,100,100,60,53,100,0,0,100,0,20,100,100,60,53
Oxford Policy Management,opml,56,0,0,92,0,0,4,47,0,22,56,0,0,92,0,0,4,47,0,22
Pact,pact,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Palladium Europe,palladium_eur,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Palladium International Ltd (UK),palladium,92,0,0,100,0,72,0,58,0,36,92,0,0,100,0,72,0,58,0,36
Palliative Care Association of Malawi,pacam,100,100,100,0,0,0,100,100,0,56,100,100,100,0,0,0,100,100,0,56
Palliative Care Support Trust,pcst,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Panos Institute West Africa (PIWA),ipao,0,0,0,75,0,34,0,0,0,12,0,0,0,75,0,34,0,0,0,12
Partnership for African Social & Governance Research (PASGR),pasgr,0,0,0,50,0,0,0,100,0,17,0,0,0,50,0,0,0,100,0,17
partos,partos_nl,33,0,0,78,0,11,44,0,89,28,33,0,0,78,0,22,44,0,89,30
Pastoralist Girls Initiative,pgi_kenya,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
PATH,_path_,100,0,0,100,0,33,0,-,0,26,100,0,0,100,0,33,0,-,0,26
PAX,pax,100,0,0,100,0,3,100,0,3,34,100,0,0,100,0,3,100,0,3,34
Peace Direct,peacedirect,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
PEAS (Promoting Equality in African Schools),peas,100,67,33,67,0,33,67,50,0,46,100,67,33,67,0,67,67,50,0,50
Penal Reform International,pri,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
People In Aid,peopleinaid,100,0,0,0,0,100,0,100,0,33,100,0,0,100,0,100,0,100,0,44
People in Need,pin,0,0,0,64,0,0,0,4,0,8,0,0,0,65,0,0,0,4,0,8
PHASE Nepal,phase-nepal,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
PHASE Worldwide,phase_worldwide,100,100,100,100,0,0,0,0,0,44,100,100,100,100,0,0,0,0,0,44
Plan International Belgium,pib,93,86,86,100,0,7,100,75,86,70,93,86,86,100,0,7,100,75,86,70
Plan International Finland,planinternationalfinland,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Plan International Netherlands,plannlno,100,15,1,100,0,3,100,0,94,46,100,15,2,100,0,3,100,0,94,46
Plan International UK,plan_uk,95,0,0,100,0,0,97,50,0,38,95,0,0,100,0,0,97,50,0,38
Plan International USA,plan_usa,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Plan Ireland Charitable Assistance Limited,plan_ireland,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
PlanBørnefonden,plb,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,100,-,0,22
Plataforma Moçambicana da Água (PLAMA),plama,100,0,0,100,0,100,100,0,100,56,100,0,0,100,0,100,100,0,100,56
PONT,pont,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Pontis Foundation,pontis,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Population Media Center,pmc,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Population Service International,psi,100,0,0,80,0,40,100,50,60,48,100,0,0,80,0,40,100,50,60,48
Population Services and Training Centre (PSTC),pstc_1102,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
Population Services Kenya,pskenya_19,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
PositiveNegatives,posneg,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Power International,power,0,0,0,100,0,100,100,0,0,33,0,0,0,100,0,100,100,0,0,33
PRACTICA Foundation,practica,0,33,33,100,0,33,100,33,0,37,0,33,33,100,0,33,100,33,0,37
Practical Action,pa,99,0,0,95,0,0,0,40,0,26,100,0,0,100,0,1,0,40,0,27
Pragya India,pragya,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
PRI Association,pri_icf,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
PricewaterhouseCoopers Private Limited India,pwcplindia,100,0,0,100,0,0,100,89,0,43,100,0,0,100,0,0,100,89,0,43
Prince Claus Fund,pcf,100,100,100,100,0,97,100,25,100,80,100,100,100,100,0,97,100,25,100,80
Private Infrastructure Development Group,pidg,100,0,0,82,0,100,55,-,82,47,100,0,0,82,0,100,55,-,82,47
Progressio,progressio,50,0,0,80,0,50,90,22,0,32,50,0,0,80,0,50,90,22,0,32
Project Harar,phe,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Promundo-US,pmo-us,0,0,0,100,0,0,100,50,67,35,0,0,0,100,0,0,100,50,67,35
Protecting Families Against HIV/AIDS,prefa_1,0,100,100,100,0,100,0,100,0,56,0,100,100,100,0,100,0,100,0,56
Protos,protos,100,83,83,100,0,83,100,100,83,81,100,83,83,100,0,83,100,100,83,81
Publish What You Fund,pwyf,100,0,0,100,0,0,100,-,33,37,100,0,0,100,0,0,100,-,33,37
PUM Netherlands,pumnl,0,0,0,100,0,0,0,-,100,22,0,0,0,100,0,0,0,-,100,22
Pump Aid,pumpaid,100,100,100,50,0,50,0,100,0,56,100,100,100,50,0,50,0,100,0,56
PwC,pwc,17,0,0,100,0,0,100,100,0,35,17,0,0,100,0,0,100,100,0,35
Queen Rania Foundation for Education and Development,qrfed,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Quinoa,quinoa,100,60,60,100,0,20,100,100,60,67,100,60,60,100,0,20,100,100,60,67
Rahnuma-Family Planning Assocation of Pakistan,rfpap,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Railway Children,rc,75,0,0,75,0,25,25,33,0,26,75,0,0,100,0,25,25,33,0,29
Railway Children Africa,rc2africa,0,0,0,100,0,0,100,100,0,33,0,0,0,100,0,0,100,100,0,33
RAIN Foundation (former),rainfoundation,100,100,93,100,0,100,100,53,0,72,100,100,100,100,0,100,100,53,0,73
Rainforest Alliance,rainforest-alliance,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
Rainforest Foundation UK,rfuk,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Raleigh International,raleigh_int,100,0,0,100,0,50,100,100,0,50,100,0,0,100,0,50,100,100,0,50
RCN Justice & Démocratie,rcn,83,83,83,100,0,17,100,90,83,71,83,83,83,100,0,17,100,90,83,71
Reach A Hand Uganda,rahuug,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Red Cross Red Crescent Climate Centre,climate_centre,0,0,0,100,0,0,100,50,72,36,0,0,0,100,0,0,100,50,72,36
Regional Advisory Information and Network Systems,rains,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
"Rehabilitation, Education and Community Health (REACH)",reach-iraq,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Relief International - Somalia,ri_kenya,0,0,0,100,0,0,100,0,0,22,0,0,0,100,0,0,100,0,0,22
Relief International UK,ri-uk,0,0,0,100,0,100,100,0,0,33,0,0,0,100,0,100,100,0,0,33
Rene Moawad Foundation,rmf-lb,0,0,0,100,0,100,0,0,100,33,0,0,0,100,0,100,0,0,100,33
Republic of Korea,odakorea,2,98,0,99,0,0,98,26,76,44,2,98,0,100,0,0,98,26,76,44
Resilience,resilience,100,0,0,100,0,100,0,100,100,56,100,0,0,100,0,100,0,100,100,56
Resource Extraction Monitoring,rem,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Responsible Mining Foundation,rmf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Restless Development,restless,100,0,0,100,0,83,100,90,0,53,100,0,0,100,0,83,100,90,0,53
Results for Development,r4d,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
Retrak,retrak,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Right to Play Netherlands Foundation,rtp,0,100,0,100,0,0,100,0,100,44,0,100,0,100,0,0,100,0,100,44
Rikolto,rikolto,92,92,92,100,0,0,100,17,92,65,92,92,92,100,0,0,100,17,92,65
Rikolto in Belgium,rikolto_belgium,67,33,33,100,0,0,100,0,33,41,67,33,33,100,0,0,100,0,33,41
Rode Kruis-Vlaanderen Internationaal vzw,rkiv,100,88,88,100,0,6,100,47,82,68,100,88,88,100,0,6,100,47,82,68
Rojiroti UK,rojiroti,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Romania Ministry of Foreign Affairs,uasd,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Rotary Clubs For Development,rc4d,80,80,80,100,0,0,100,-,60,56,80,80,80,100,0,0,100,-,60,56
Royal College of General Practitioners (RCGP),rcgp-international,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Royal College of Obstetricians & Gynaecologists,rcog_resilience_in_obstetric_skills,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,0,100,-,0,11
Royal Commonwealth Ex-Sevices League,rcel,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
Royal National Lifeboat Institution (RNLI),rnli_international,100,100,100,100,100,0,100,0,100,78,100,100,100,100,100,0,100,0,100,78
Royal Netherlands Football Association,knvb,100,100,100,100,0,0,100,0,100,67,100,100,100,100,0,0,100,0,100,67
Royal Society for the Protection of Birds,rspb_,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Royal Tropical Institute,kit,100,0,0,100,0,0,100,50,89,49,100,0,0,100,0,0,100,50,89,49
RUAF Foundation,ruaf,100,0,0,100,0,0,100,25,0,36,100,0,0,100,0,0,100,25,0,36
Rutgers,rutgers,76,0,0,100,15,15,100,47,36,43,76,0,0,100,15,15,100,47,36,43
Sabre Education Limited,sct,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Saferworld,saferworld,90,0,0,100,0,38,0,37,34,33,90,0,0,100,0,38,0,37,34,33
Samaritan's Purse UK,spuk,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Savana Signatures,savsign-org,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Save the Children DK,redbarnet,100,0,0,100,0,0,100,-,0,33,100,0,0,100,0,0,100,-,0,33
Save the Children International,sci,100,0,0,100,0,3,100,27,5,37,100,0,0,100,0,3,100,27,5,37
Save the Children Netherlands,scnl,92,0,0,100,0,8,100,52,61,46,92,0,0,100,0,8,100,52,61,46
Save the Children UK,scuk,100,0,0,54,0,2,100,38,4,33,100,0,0,54,0,2,100,38,4,33
SCI Projets Internationaux ASBL_Service Civil International branche belge,scibelgium,100,25,25,100,0,25,100,100,50,58,100,25,25,100,0,25,100,100,50,58
Scotland's International Development Alliance,sinda,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Scottish Catholic International Aid Fund (SCIAF),sciaf,100,0,0,100,0,75,100,0,0,42,100,0,0,100,0,75,100,0,0,42
Search for Common Ground (SFCG),sfcg,71,29,14,100,0,86,100,17,71,54,71,29,14,100,0,86,100,17,71,54
SECOURS CATHOLIQUE - CARITAS FRANCE,sccf,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Seefar,seefar,50,0,0,100,0,50,50,-,0,28,50,0,0,100,0,50,50,-,0,28
Sehat Kahani (Community Innovation Hub),sehatkahanicih,0,0,0,100,0,100,0,100,0,33,0,0,0,100,0,100,0,100,0,33
Self Help Africa,self-help-africa,100,0,0,0,0,0,0,0,0,11,100,0,0,100,0,3,0,0,0,23
Send a Cow,sendacow,78,0,0,100,0,78,100,38,0,44,78,0,0,100,0,78,100,38,0,44
Send a Cow Ethiopia,sacethiopia,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Send a Cow Kenya,sac_kenya,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Send a Cow Uganda,sacu,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Sense International,sense_international,100,0,0,100,0,100,100,100,0,56,100,0,0,100,0,100,100,100,0,56
Sensorial Handicap Cooperation,shc,100,75,75,100,0,25,100,100,50,69,100,75,75,100,0,25,100,100,50,69
ShelterBox,shelterbox,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Shift Project Ltd.,shiftproject,0,0,0,0,0,0,0,-,0,0,0,0,0,0,0,0,0,-,0,0
Shtrii Shakti,shtrii_shakti,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Sightsavers,ss-org,100,87,87,100,0,28,100,0,39,60,100,87,87,100,0,28,100,0,39,60
Signal,signal,100,0,0,100,0,0,0,100,0,33,100,0,0,100,0,0,0,100,0,33
Silsab Foundation,silsab1-_,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
Simavi,simavi,100,0,0,100,0,3,100,0,71,42,100,0,0,100,0,3,100,0,71,42
Simprints,simprints,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Siren Associates,siren,100,100,0,100,0,0,100,0,100,56,100,100,0,100,0,0,100,0,100,56
Small Arms Survey,sas_sana,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
SNV Netherlands Development Organisation,snv,98,100,100,81,2,98,98,57,98,81,98,100,100,81,2,100,98,57,98,82
Social Development Direct Limited,sddirect,43,0,0,71,0,0,0,100,0,24,43,0,0,71,0,0,0,100,0,24
"Social Fund for Development, Yemen",sfd-yemen,0,100,0,0,0,0,0,0,0,11,0,100,0,0,0,0,0,0,0,11
Social Impact Lab CIC,simlab,0,0,0,0,0,0,50,100,0,17,0,0,0,100,0,0,50,100,0,28
Social Watch Benin,swb_1,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
Société Nationale des eaux du Bénin (SONEB),soneb-benin,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
SolarNow Services (U) Ltd,solarnowsofa,100,100,0,0,0,0,0,100,100,44,100,100,0,0,0,0,0,100,100,44
Solidagro,solidagro_admin,100,36,36,100,0,9,100,89,82,61,100,36,36,100,0,9,100,89,82,61
Solidaridad,solidaridad,100,0,0,100,0,0,100,39,80,47,100,0,0,100,0,0,100,39,80,47
Solidaridad Europe,solidaridad-europe,100,0,0,94,0,6,100,0,59,40,100,0,0,94,0,6,100,0,59,40
Solidaridad South & South-East Asia,solidaridad-ssea,100,0,0,97,0,3,100,44,79,47,100,0,0,97,0,3,100,44,79,47
Solidaridad West Africa,solidaridad-waf,100,0,0,100,0,0,100,100,62,51,100,0,0,100,0,0,100,100,62,51
Solsoc,solsoc,100,31,31,100,0,8,100,64,85,58,100,31,31,100,0,8,100,64,85,58
Sonke Gender Justice,sjg,0,0,0,100,0,50,100,100,50,44,0,0,0,100,0,50,100,100,50,44
SOS Children's Villages Kenya,soscvkenya,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
SOS Children's Villages The Netherlands,sosnl,0,25,25,100,0,0,50,0,100,33,0,25,25,100,0,0,50,0,100,33
SOS FAIM - SOS HUNGER,sosfaim,91,27,27,100,0,91,100,56,82,64,91,27,27,100,0,91,100,56,82,64
SOS Kinderdorpen België / SOS Villages d'Enfants Belgique,svdbskb_admin,100,50,50,100,0,25,100,100,50,64,100,50,50,100,0,25,100,100,50,64
SOS Sahel International UK,sossaheluk,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Sound Seekers Limited,soundseekers,100,0,0,0,0,0,0,100,0,22,100,0,0,0,0,0,0,100,0,22
South Asian Women Development Forum,sawdf-admin,100,0,0,100,0,0,0,0,0,22,100,0,0,100,0,0,0,0,0,22
Southern African Catholic Bishops' Conference Aids Office,sacbc,100,100,0,100,0,0,100,100,100,67,100,100,0,100,0,0,100,100,100,67
SouthSouthNorth,ssn,100,0,0,100,0,100,100,-,100,56,100,0,0,100,0,100,100,-,100,56
Spain - Ministry of Foreign Affairs and Cooperation,maec,100,0,0,100,0,0,100,34,0,37,100,0,0,100,0,0,100,34,0,37
Spanish Agency for International Development Cooperation (AECID),aecid,100,0,0,100,0,0,100,50,0,39,100,0,0,100,0,0,100,50,0,39
SPARK,spark,0,0,0,100,0,100,100,-,100,44,0,0,0,100,0,100,100,-,100,44
Special Hope Network,shn,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Stakeholder Democracy Network,sdn,100,0,0,100,0,0,100,100,0,44,100,0,0,100,0,0,100,100,0,44
Stars Foundation,starsfoundation,0,0,0,0,0,0,100,-,0,11,0,0,0,0,0,0,100,-,0,11
STC International,stc-international,100,100,100,100,0,100,100,0,0,67,100,100,100,100,0,100,100,0,0,67
Stichting ActionAId,aanl,75,0,0,100,25,0,100,0,100,44,75,0,0,100,25,0,100,0,100,44
Stichting Aflatoun International,aflatoun,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Stichting Agriterra,agriterra,100,36,0,98,0,0,100,38,39,46,100,36,0,98,0,0,100,38,39,46
Stichting Aidenvironment,aidenvironment,100,100,0,100,0,100,100,33,100,70,100,100,100,100,0,100,100,33,100,81
Stichting Beheer Subsidiegelden DRA,stichting-subsidiegelden-dra,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Stichting Deltares,deltares,81,35,35,100,0,31,0,0,92,42,81,35,35,100,0,31,0,0,92,42
Stichting fondsbeheer DGGF lokaal MKB,dggf_financing_local_smes,91,0,0,100,0,59,0,20,0,30,91,0,0,100,0,59,0,20,0,30
Stichting Health Action International,hai,100,14,14,100,0,100,100,100,71,67,100,14,14,100,0,100,100,100,71,67
Stichting Humana,humana_houben,100,100,0,100,0,0,100,100,0,56,100,100,0,100,0,0,100,100,0,56
Stichting Kinderpostzegels Nederland,skn,100,0,0,100,0,0,100,0,80,42,100,0,0,100,0,0,100,0,80,42
Stichting Liliane Fonds,slf,100,0,0,100,0,0,100,0,0,33,100,0,0,100,0,0,100,0,0,33
Stichting Mayday Rescue Foundation,maydayrescue,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',clingendael,0,0,0,100,0,25,100,0,25,28,0,0,0,100,0,25,100,0,25,28
Stichting Onderzoek Multinationale Ondernemingen (SOMO),somo,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
Stichting Red een Kind,redeenkind,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Stichting Vluchteling,st_vluchteling,95,90,80,95,0,5,100,21,85,63,95,90,80,95,0,5,100,21,85,63
Stichting VU Amsterdam - Amsterdam Centre for World Food Studies,acwfs_vu,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Stichting Woord en Daad,w-d,100,0,0,100,0,0,100,0,38,38,100,0,0,100,0,0,100,0,38,38
Stockholm International Water Institute,siwi,100,0,0,0,0,0,0,0,100,22,100,0,0,0,0,0,0,0,100,22
Street Child,street_child,100,25,25,100,0,0,0,-,0,28,100,25,25,100,0,0,0,-,0,28
StreetInvest,si,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Stromme Foundation,stromme_ug,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Studio Globo,sg,100,33,33,100,0,33,100,100,33,59,100,33,33,100,0,33,100,100,33,59
Support Trust for Africa Development (STAD),stad,0,0,0,100,0,0,100,100,100,44,0,0,0,100,0,0,100,100,100,44
Survivors Fund (SURF),surf,0,0,0,50,0,0,100,0,0,17,0,0,0,100,0,0,100,0,0,22
"Sweden, through Swedish International Development Cooperation Agency (Sida)",sida,100,0,0,100,98,4,100,31,10,49,100,0,0,100,98,4,100,31,10,49
Switzerland - Swiss Agency for Development and Cooperation (SDC),sdc_ch,100,2,0,60,0,0,100,6,0,30,100,2,0,60,0,0,100,6,0,30
Sympany+,simone_sympany,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
Syria Relief,sr,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
Syrian Center for Media and Freedom of Expression,scm,100,0,0,100,0,0,100,0,100,44,100,0,0,100,0,0,100,0,100,44
Tameer-e-Khalaq Foundation,tkf1234,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
Target TB,targettb,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
TB Alert,tbalert,100,0,0,0,0,100,100,100,0,44,100,0,0,0,0,100,100,100,0,44
Teach A Man To Fish,tamtf,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
TEAR fund Nederland,tear,0,0,0,100,0,0,100,0,100,33,0,0,0,100,0,0,100,0,100,33
Tearfund,tearfund,20,0,0,60,0,20,100,40,0,27,20,0,0,60,0,20,100,40,0,27
Tearfund VZW (TFBE),tfb_admin1,100,50,50,100,0,25,100,100,50,64,100,50,50,100,0,25,100,100,50,64
TechnoServe,tns,100,0,0,100,0,50,100,0,50,44,100,0,0,100,0,50,100,0,50,44
Terre des Hommes Netherlands,tdh_nl,100,0,0,89,0,3,100,0,87,42,100,0,0,89,0,3,100,0,87,42
Terre des hommes- Aide à l'enfance dans le monde- Fondation,tdh_foundation,0,100,100,100,0,0,0,0,0,33,0,100,100,100,0,0,0,0,0,33
The Access to Nutrition Foundation,atnf,0,0,0,100,0,17,0,0,0,13,0,0,0,100,0,17,0,0,0,13
The Asia Foundation,taf,0,0,0,0,0,0,100,-,100,22,0,0,0,0,0,0,100,-,100,22
The Carter Center,carter-center,0,0,0,100,0,100,0,0,0,22,0,0,0,100,0,100,0,0,0,22
the center for victimized women and children,cavwoc,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
The Coca-Cola Export Corporation,tccec,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
The Commonwealth Secretariat,commonwealthsecretariat,100,96,10,0,0,0,100,0,0,34,100,96,42,0,0,0,100,0,0,38
The Convention on Business Integrity,cbi-nigeria,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
The Foundation Center,foundation_center,0,0,0,0,0,0,0,100,0,11,0,0,0,0,0,0,0,100,0,11
The Fred Hollows Foundation (UK),fhfuk,100,100,0,100,0,100,100,100,0,67,100,100,0,100,0,100,100,100,0,67
The Freedom Fund,thefreedomfund,-,-,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,0
The Global Alliance for Improved Nutrition,gain,0,0,0,100,0,0,100,66,0,30,0,0,0,100,0,0,100,66,0,30
"The Global Development Incubator, Inc",gdi,100,0,0,100,0,100,100,-,0,44,100,0,0,100,0,100,100,-,0,44
The Global Forum on MSM & HIV (MSMGF),msmgf,0,0,0,100,0,0,100,-,0,22,0,0,0,100,0,0,100,-,0,22
"The Global Fund to Fight AIDS, Tuberculosis and Malaria",theglobalfund,100,0,0,100,100,88,100,36,94,69,100,0,0,100,100,88,100,36,94,69
The HALO Trust,halo,100,60,0,100,0,50,100,0,50,51,100,60,0,100,0,50,100,0,50,51
The Hunger Project Netherlands,thp_org,100,0,0,100,0,0,100,33,100,48,100,0,0,100,0,0,100,33,100,48
The International Children's Trust,theict,0,0,0,100,0,0,0,100,0,22,0,0,0,100,0,0,0,100,0,22
The International Rescue Committee,irc_inc,75,2,2,100,0,73,92,49,7,44,75,2,2,100,0,73,92,49,7,44
The Legal Aid Forum,laf,100,50,50,0,0,0,100,100,100,56,100,50,50,0,0,0,100,100,100,56
The Leprosy Mission England and Wales,tlmew,0,0,0,100,0,0,0,0,0,11,0,0,0,100,0,0,0,0,0,11
The Louis Berger Group Inc.,lbg,100,100,100,100,0,100,100,0,0,67,100,100,100,100,0,100,100,0,0,67
The Mailman School of Public Health,mailman_school_of_public_health,0,0,0,100,0,0,0,-,0,11,0,0,0,100,0,0,0,-,0,11
The MENTOR Initiative,the_mentor_initiative,100,0,0,100,0,100,100,0,0,44,100,0,0,100,0,100,100,0,0,44
The National Association of Municipalities of Benin (ANCB),ancb_benin,100,100,100,100,0,100,100,100,100,89,100,100,100,100,0,100,100,100,100,89
The OPEC Fund for International Development (OFID),ofid,100,0,0,0,0,0,100,34,0,26,100,0,0,100,0,0,100,34,0,37
The Open University,open_university,100,0,0,100,0,0,0,88,0,32,100,0,0,100,0,0,0,88,0,32
"The Population Council, Inc.",populationcouncil,0,0,0,100,0,0,0,100,50,28,0,0,0,100,0,0,0,100,50,28
